,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked
77,3,1,30.72664459161148,0,0,8.05,2
78,2,1,0.83,0,2,29.0,2
79,3,0,30.0,0,0,12.475,2
80,3,1,22.0,0,0,9.0,2
81,3,1,29.0,0,0,9.5,2
82,3,0,27.915708812260537,0,0,7.7875,1
83,1,1,28.0,0,0,47.1,2
84,2,0,17.0,0,0,10.5,2
85,3,0,33.0,3,0,15.85,2
86,3,1,16.0,1,3,34.375,2
87,3,1,30.72664459161148,0,0,8.05,2
88,1,0,23.0,3,2,263.0,2
89,3,1,24.0,0,0,8.05,2
90,3,1,29.0,0,0,8.05,2
91,3,1,20.0,0,0,7.8542,2
92,1,1,46.0,1,0,61.175,2
93,3,1,26.0,1,2,20.575,2
94,3,1,59.0,0,0,7.25,2
95,3,1,30.72664459161148,0,0,8.05,2
96,1,1,71.0,0,0,34.6542,0
97,1,1,23.0,0,1,63.3583,0
98,2,0,34.0,0,1,23.0,2
99,2,1,34.0,1,0,26.0,2
100,3,0,28.0,0,0,7.8958,2
101,3,1,30.72664459161148,0,0,7.8958,2
102,1,1,21.0,0,1,77.2875,2
103,3,1,33.0,0,0,8.6542,2
104,3,1,37.0,2,0,7.925,2
105,3,1,28.0,0,0,7.8958,2
106,3,0,21.0,0,0,7.65,2
107,3,1,30.72664459161148,0,0,7.775,2
108,3,1,38.0,0,0,7.8958,2
109,3,0,27.915708812260537,1,0,24.15,1
110,1,1,47.0,0,0,52.0,2
111,3,0,14.5,1,0,14.4542,0
112,3,1,22.0,0,0,8.05,2
113,3,0,20.0,1,0,9.825,2
114,3,0,17.0,0,0,14.4583,0
115,3,1,21.0,0,0,7.925,2
116,3,1,70.5,0,0,7.75,1
117,2,1,29.0,1,0,21.0,2
118,1,1,24.0,0,1,247.5208,0
119,3,0,2.0,4,2,31.275,2
120,2,1,21.0,2,0,73.5,2
121,3,1,30.72664459161148,0,0,8.05,2
122,2,1,32.5,1,0,30.0708,0
123,2,0,32.5,0,0,13.0,2
124,1,1,54.0,0,1,77.2875,2
125,3,1,12.0,1,0,11.2417,0
126,3,1,30.72664459161148,0,0,7.75,1
127,3,1,24.0,0,0,7.1417,2
128,3,0,27.915708812260537,1,1,22.3583,0
129,3,1,45.0,0,0,6.975,2
130,3,1,33.0,0,0,7.8958,0
131,3,1,20.0,0,0,7.05,2
132,3,0,47.0,1,0,14.5,2
133,2,0,29.0,1,0,26.0,2
134,2,1,25.0,0,0,13.0,2
135,2,1,23.0,0,0,15.0458,0
136,1,0,19.0,0,2,26.2833,2
137,1,1,37.0,1,0,53.1,2
138,3,1,16.0,0,0,9.2167,2
139,1,1,24.0,0,0,79.2,0
140,3,0,27.915708812260537,0,2,15.2458,0
141,3,0,22.0,0,0,7.75,2
142,3,0,24.0,1,0,15.85,2
143,3,1,19.0,0,0,6.75,1
144,2,1,18.0,0,0,11.5,2
145,2,1,19.0,1,1,36.75,2
146,3,1,27.0,0,0,7.7958,2
147,3,0,9.0,2,2,34.375,2
148,2,1,36.5,0,2,26.0,2
149,2,1,42.0,0,0,13.0,2
150,2,1,51.0,0,0,12.525,2
151,1,0,22.0,1,0,66.6,2
152,3,1,55.5,0,0,8.05,2
153,3,1,40.5,0,2,14.5,2
154,3,1,30.72664459161148,0,0,7.3125,2
155,1,1,51.0,0,1,61.3792,0
156,3,0,16.0,0,0,7.7333,1
157,3,1,30.0,0,0,8.05,2
158,3,1,30.72664459161148,0,0,8.6625,2
159,3,1,30.72664459161148,8,2,69.55,2
160,3,1,44.0,0,1,16.1,2
161,2,0,40.0,0,0,15.75,2
162,3,1,26.0,0,0,7.775,2
163,3,1,17.0,0,0,8.6625,2
164,3,1,1.0,4,1,39.6875,2
165,3,1,9.0,0,2,20.525,2
166,1,0,27.915708812260537,0,1,55.0,2
167,3,0,45.0,1,4,27.9,2
168,1,1,30.72664459161148,0,0,25.925,2
169,3,1,28.0,0,0,56.4958,2
170,1,1,61.0,0,0,33.5,2
171,3,1,4.0,4,1,29.125,1
172,3,0,1.0,1,1,11.1333,2
173,3,1,21.0,0,0,7.925,2
174,1,1,56.0,0,0,30.6958,0
175,3,1,18.0,1,1,7.8542,2
176,3,1,30.72664459161148,3,1,25.4667,2
177,1,0,50.0,0,0,28.7125,0
178,2,1,30.0,0,0,13.0,2
179,3,1,36.0,0,0,0.0,2
180,3,0,27.915708812260537,8,2,69.55,2
181,2,1,30.72664459161148,0,0,15.05,0
182,3,1,9.0,4,2,31.3875,2
183,2,1,1.0,2,1,39.0,2
184,3,0,4.0,0,2,22.025,2
185,1,1,30.72664459161148,0,0,50.0,2
186,3,0,27.915708812260537,1,0,15.5,1
187,1,1,45.0,0,0,26.55,2
188,3,1,40.0,1,1,15.5,1
189,3,1,36.0,0,0,7.8958,2
190,2,0,32.0,0,0,13.0,2
191,2,1,19.0,0,0,13.0,2
192,3,0,19.0,1,0,7.8542,2
193,2,1,3.0,1,1,26.0,2
194,1,0,44.0,0,0,27.7208,0
195,1,0,58.0,0,0,146.5208,0
196,3,1,30.72664459161148,0,0,7.75,1
197,3,1,42.0,0,1,8.4042,2
198,3,0,27.915708812260537,0,0,7.75,1
199,2,0,24.0,0,0,13.0,2
200,3,1,28.0,0,0,9.5,2
201,3,1,30.72664459161148,8,2,69.55,2
202,3,1,34.0,0,0,6.4958,2
203,3,1,45.5,0,0,7.225,0
204,3,1,18.0,0,0,8.05,2
205,3,0,2.0,0,1,10.4625,2
206,3,1,32.0,1,0,15.85,2
207,3,1,26.0,0,0,18.7875,0
208,3,0,16.0,0,0,7.75,1
209,1,1,40.0,0,0,31.0,0
210,3,1,24.0,0,0,7.05,2
211,2,0,35.0,0,0,21.0,2
212,3,1,22.0,0,0,7.25,2
213,2,1,30.0,0,0,13.0,2
214,3,1,30.72664459161148,1,0,7.75,1
215,1,0,31.0,1,0,113.275,0
216,3,0,27.0,0,0,7.925,2
217,2,1,42.0,1,0,27.0,2
218,1,0,32.0,0,0,76.2917,0
219,2,1,30.0,0,0,10.5,2
220,3,1,16.0,0,0,8.05,2
221,2,1,27.0,0,0,13.0,2
222,3,1,51.0,0,0,8.05,2
223,3,1,30.72664459161148,0,0,7.8958,2
224,1,1,38.0,1,0,90.0,2
225,3,1,22.0,0,0,9.35,2
226,2,1,19.0,0,0,10.5,2
227,3,1,20.5,0,0,7.25,2
228,2,1,18.0,0,0,13.0,2
229,3,0,27.915708812260537,3,1,25.4667,2
230,1,0,35.0,1,0,83.475,2
231,3,1,29.0,0,0,7.775,2
232,2,1,59.0,0,0,13.5,2
233,3,0,5.0,4,2,31.3875,2
234,2,1,24.0,0,0,10.5,2
235,3,0,27.915708812260537,0,0,7.55,2
236,2,1,44.0,1,0,26.0,2
237,2,0,8.0,0,2,26.25,2
238,2,1,19.0,0,0,10.5,2
239,2,1,33.0,0,0,12.275,2
240,3,0,27.915708812260537,1,0,14.4542,0
241,3,0,27.915708812260537,1,0,15.5,1
242,2,1,29.0,0,0,10.5,2
243,3,1,22.0,0,0,7.125,2
244,3,1,30.0,0,0,7.225,0
245,1,1,44.0,2,0,90.0,1
246,3,0,25.0,0,0,7.775,2
247,2,0,24.0,0,2,14.5,2
248,1,1,37.0,1,1,52.5542,2
249,2,1,54.0,1,0,26.0,2
250,3,1,30.72664459161148,0,0,7.25,2
251,3,0,29.0,1,1,10.4625,2
252,1,1,62.0,0,0,26.55,2
253,3,1,30.0,1,0,16.1,2
254,3,0,41.0,0,2,20.2125,2
255,3,0,29.0,0,2,15.2458,0
256,1,0,27.915708812260537,0,0,79.2,0
257,1,0,30.0,0,0,86.5,2
258,1,0,35.0,0,0,512.3292,0
259,2,0,50.0,0,1,26.0,2
260,3,1,30.72664459161148,0,0,7.75,1
261,3,1,3.0,4,2,31.3875,2
262,1,1,52.0,1,1,79.65,2
263,1,1,40.0,0,0,0.0,2
264,3,0,27.915708812260537,0,0,7.75,1
265,2,1,36.0,0,0,10.5,2
266,3,1,16.0,4,1,39.6875,2
267,3,1,25.0,1,0,7.775,2
268,1,0,58.0,0,1,153.4625,2
269,1,0,35.0,0,0,135.6333,2
270,1,1,30.72664459161148,0,0,31.0,2
271,3,1,25.0,0,0,0.0,2
272,2,0,41.0,0,1,19.5,2
273,1,1,37.0,0,1,29.7,0
274,3,0,27.915708812260537,0,0,7.75,1
275,1,0,63.0,1,0,77.9583,2
276,3,0,45.0,0,0,7.75,2
277,2,1,30.72664459161148,0,0,0.0,2
278,3,1,7.0,4,1,29.125,1
279,3,0,35.0,1,1,20.25,2
280,3,1,65.0,0,0,7.75,1
281,3,1,28.0,0,0,7.8542,2
282,3,1,16.0,0,0,9.5,2
283,3,1,19.0,0,0,8.05,2
284,1,1,30.72664459161148,0,0,26.0,2
285,3,1,33.0,0,0,8.6625,0
286,3,1,30.0,0,0,9.5,2
287,3,1,22.0,0,0,7.8958,2
288,2,1,42.0,0,0,13.0,2
289,3,0,22.0,0,0,7.75,1
290,1,0,26.0,0,0,78.85,2
291,1,0,19.0,1,0,91.0792,0
292,2,1,36.0,0,0,12.875,0
293,3,0,24.0,0,0,8.85,2
294,3,1,24.0,0,0,7.8958,2
295,1,1,30.72664459161148,0,0,27.7208,0
296,3,1,23.5,0,0,7.2292,0
297,1,0,2.0,1,2,151.55,2
298,1,1,30.72664459161148,0,0,30.5,2
299,1,0,50.0,0,1,247.5208,0
300,3,0,27.915708812260537,0,0,7.75,1
301,3,1,30.72664459161148,2,0,23.25,1
302,3,1,19.0,0,0,0.0,2
303,2,0,27.915708812260537,0,0,12.35,1
304,3,1,30.72664459161148,0,0,8.05,2
305,1,1,0.92,1,2,151.55,2
306,1,0,27.915708812260537,0,0,110.8833,0
307,1,0,17.0,1,0,108.9,0
308,2,1,30.0,1,0,24.0,0
309,1,0,30.0,0,0,56.9292,0
310,1,0,24.0,0,0,83.1583,0
311,1,0,18.0,2,2,262.375,0
312,2,0,26.0,1,1,26.0,2
313,3,1,28.0,0,0,7.8958,2
314,2,1,43.0,1,1,26.25,2
315,3,0,26.0,0,0,7.8542,2
316,2,0,24.0,1,0,26.0,2
317,2,1,54.0,0,0,14.0,2
318,1,0,31.0,0,2,164.8667,2
319,1,0,40.0,1,1,134.5,0
320,3,1,22.0,0,0,7.25,2
321,3,1,27.0,0,0,7.8958,2
322,2,0,30.0,0,0,12.35,1
323,2,0,22.0,1,1,29.0,2
324,3,1,30.72664459161148,8,2,69.55,2
325,1,0,36.0,0,0,135.6333,0
326,3,1,61.0,0,0,6.2375,2
327,2,0,36.0,0,0,13.0,2
328,3,0,31.0,1,1,20.525,2
329,1,0,16.0,0,1,57.9792,0
330,3,0,27.915708812260537,2,0,23.25,1
331,1,1,45.5,0,0,28.5,2
332,1,1,38.0,0,1,153.4625,2
333,3,1,16.0,2,0,18.0,2
334,1,0,27.915708812260537,1,0,133.65,2
335,3,1,30.72664459161148,0,0,7.8958,2
336,1,1,29.0,1,0,66.6,2
337,1,0,41.0,0,0,134.5,0
338,3,1,45.0,0,0,8.05,2
339,1,1,45.0,0,0,35.5,2
340,2,1,2.0,1,1,26.0,2
341,1,0,24.0,3,2,263.0,2
342,2,1,28.0,0,0,13.0,2
343,2,1,25.0,0,0,13.0,2
344,2,1,36.0,0,0,13.0,2
345,2,0,24.0,0,0,13.0,2
346,2,0,40.0,0,0,13.0,2
347,3,0,27.915708812260537,1,0,16.1,2
348,3,1,3.0,1,1,15.9,2
349,3,1,42.0,0,0,8.6625,2
350,3,1,23.0,0,0,9.225,2
351,1,1,30.72664459161148,0,0,35.0,2
352,3,1,15.0,1,1,7.2292,0
353,3,1,25.0,1,0,17.8,2
354,3,1,30.72664459161148,0,0,7.225,0
355,3,1,28.0,0,0,9.5,2
356,1,0,22.0,0,1,55.0,2
357,2,0,38.0,0,0,13.0,2
358,3,0,27.915708812260537,0,0,7.8792,1
359,3,0,27.915708812260537,0,0,7.8792,1
360,3,1,40.0,1,4,27.9,2
361,2,1,29.0,1,0,27.7208,0
362,3,0,45.0,0,1,14.4542,0
363,3,1,35.0,0,0,7.05,2
364,3,1,30.72664459161148,1,0,15.5,1
365,3,1,30.0,0,0,7.25,2
366,1,0,60.0,1,0,75.25,0
367,3,0,27.915708812260537,0,0,7.2292,0
368,3,0,27.915708812260537,0,0,7.75,1
369,1,0,24.0,0,0,69.3,0
370,1,1,25.0,1,0,55.4417,0
371,3,1,18.0,1,0,6.4958,2
372,3,1,19.0,0,0,8.05,2
373,1,1,22.0,0,0,135.6333,0
374,3,0,3.0,3,1,21.075,2
375,1,0,27.915708812260537,1,0,82.1708,0
376,3,0,22.0,0,0,7.25,2
377,1,1,27.0,0,2,211.5,0
378,3,1,20.0,0,0,4.0125,0
379,3,1,19.0,0,0,7.775,2
380,1,0,42.0,0,0,227.525,0
381,3,0,1.0,0,2,15.7417,0
382,3,1,32.0,0,0,7.925,2
383,1,0,35.0,1,0,52.0,2
384,3,1,30.72664459161148,0,0,7.8958,2
385,2,1,18.0,0,0,73.5,2
386,3,1,1.0,5,2,46.9,2
387,2,0,36.0,0,0,13.0,2
388,3,1,30.72664459161148,0,0,7.7292,1
389,2,0,17.0,0,0,12.0,0
390,1,1,36.0,1,2,120.0,2
391,3,1,21.0,0,0,7.7958,2
392,3,1,28.0,2,0,7.925,2
393,1,0,23.0,1,0,113.275,0
394,3,0,24.0,0,2,16.7,2
395,3,1,22.0,0,0,7.7958,2
396,3,0,31.0,0,0,7.8542,2
397,2,1,46.0,0,0,26.0,2
398,2,1,23.0,0,0,10.5,2
399,2,0,28.0,0,0,12.65,2
400,3,1,39.0,0,0,7.925,2
401,3,1,26.0,0,0,8.05,2
402,3,0,21.0,1,0,9.825,2
403,3,1,28.0,1,0,15.85,2
404,3,0,20.0,0,0,8.6625,2
405,2,1,34.0,1,0,21.0,2
406,3,1,51.0,0,0,7.75,2
407,2,1,3.0,1,1,18.75,2
408,3,1,21.0,0,0,7.775,2
409,3,0,27.915708812260537,3,1,25.4667,2
410,3,1,30.72664459161148,0,0,7.8958,2
411,3,1,30.72664459161148,0,0,6.8583,1
412,1,0,33.0,1,0,90.0,1
413,2,1,30.72664459161148,0,0,0.0,2
414,3,1,44.0,0,0,7.925,2
415,3,0,27.915708812260537,0,0,8.05,2
416,2,0,34.0,1,1,32.5,2
417,2,0,18.0,0,2,13.0,2
418,2,1,30.0,0,0,13.0,2
419,3,0,10.0,0,2,24.15,2
420,3,1,30.72664459161148,0,0,7.8958,0
421,3,1,21.0,0,0,7.7333,1
422,3,1,29.0,0,0,7.875,2
423,3,0,28.0,1,1,14.4,2
424,3,1,18.0,1,1,20.2125,2
425,3,1,30.72664459161148,0,0,7.25,2
426,2,0,28.0,1,0,26.0,2
427,2,0,19.0,0,0,26.0,2
428,3,1,30.72664459161148,0,0,7.75,1
429,3,1,32.0,0,0,8.05,2
430,1,1,28.0,0,0,26.55,2
431,3,0,27.915708812260537,1,0,16.1,2
432,2,0,42.0,1,0,26.0,2
433,3,1,17.0,0,0,7.125,2
434,1,1,50.0,1,0,55.9,2
435,1,0,14.0,1,2,120.0,2
436,3,0,21.0,2,2,34.375,2
437,2,0,24.0,2,3,18.75,2
438,1,1,64.0,1,4,263.0,2
439,2,1,31.0,0,0,10.5,2
440,2,0,45.0,1,1,26.25,2
441,3,1,20.0,0,0,9.5,2
442,3,1,25.0,1,0,7.775,2
443,2,0,28.0,0,0,13.0,2
444,3,1,30.72664459161148,0,0,8.1125,2
445,1,1,4.0,0,2,81.8583,2
446,2,0,13.0,0,1,19.5,2
447,1,1,34.0,0,0,26.55,2
448,3,0,5.0,2,1,19.2583,0
449,1,1,52.0,0,0,30.5,2
450,2,1,36.0,1,2,27.75,2
451,3,1,30.72664459161148,1,0,19.9667,2
452,1,1,30.0,0,0,27.75,0
453,1,1,49.0,1,0,89.1042,0
454,3,1,30.72664459161148,0,0,8.05,2
455,3,1,29.0,0,0,7.8958,0
456,1,1,65.0,0,0,26.55,2
457,1,0,27.915708812260537,1,0,51.8625,2
458,2,0,50.0,0,0,10.5,2
459,3,1,30.72664459161148,0,0,7.75,1
460,1,1,48.0,0,0,26.55,2
461,3,1,34.0,0,0,8.05,2
462,1,1,47.0,0,0,38.5,2
463,2,1,48.0,0,0,13.0,2
464,3,1,30.72664459161148,0,0,8.05,2
465,3,1,38.0,0,0,7.05,2
466,2,1,30.72664459161148,0,0,0.0,2
467,1,1,56.0,0,0,26.55,2
468,3,1,30.72664459161148,0,0,7.725,1
469,3,0,0.75,2,1,19.2583,0
470,3,1,30.72664459161148,0,0,7.25,2
471,3,1,38.0,0,0,8.6625,2
472,2,0,33.0,1,2,27.75,2
473,2,0,23.0,0,0,13.7917,0
474,3,0,22.0,0,0,9.8375,2
475,1,1,30.72664459161148,0,0,52.0,2
476,2,1,34.0,1,0,21.0,2
477,3,1,29.0,1,0,7.0458,2
478,3,1,22.0,0,0,7.5208,2
479,3,0,2.0,0,1,12.2875,2
480,3,1,9.0,5,2,46.9,2
481,2,1,30.72664459161148,0,0,0.0,2
482,3,1,50.0,0,0,8.05,2
483,3,0,63.0,0,0,9.5875,2
484,1,1,25.0,1,0,91.0792,0
485,3,0,27.915708812260537,3,1,25.4667,2
486,1,0,35.0,1,0,90.0,2
487,1,1,58.0,0,0,29.7,0
488,3,1,30.0,0,0,8.05,2
489,3,1,9.0,1,1,15.9,2
490,3,1,30.72664459161148,1,0,19.9667,2
491,3,1,21.0,0,0,7.25,2
492,1,1,55.0,0,0,30.5,2
493,1,1,71.0,0,0,49.5042,0
494,3,1,21.0,0,0,8.05,2
495,3,1,30.72664459161148,0,0,14.4583,0
496,1,0,54.0,1,0,78.2667,0
497,3,1,30.72664459161148,0,0,15.1,2
498,1,0,25.0,1,2,151.55,2
499,3,1,24.0,0,0,7.7958,2
500,3,1,17.0,0,0,8.6625,2
501,3,0,21.0,0,0,7.75,1
502,3,0,27.915708812260537,0,0,7.6292,1
503,3,0,37.0,0,0,9.5875,2
504,1,0,16.0,0,0,86.5,2
505,1,1,18.0,1,0,108.9,0
506,2,0,33.0,0,2,26.0,2
507,1,1,30.72664459161148,0,0,26.55,2
508,3,1,28.0,0,0,22.525,2
509,3,1,26.0,0,0,56.4958,2
510,3,1,29.0,0,0,7.75,1
511,3,1,30.72664459161148,0,0,8.05,2
512,1,1,36.0,0,0,26.2875,2
513,1,0,54.0,1,0,59.4,0
514,3,1,24.0,0,0,7.4958,2
515,1,1,47.0,0,0,34.0208,2
516,2,0,34.0,0,0,10.5,2
517,3,1,30.72664459161148,0,0,24.15,1
518,2,0,36.0,1,0,26.0,2
519,3,1,32.0,0,0,7.8958,2
520,1,0,30.0,0,0,93.5,2
521,3,1,22.0,0,0,7.8958,2
522,3,1,30.72664459161148,0,0,7.225,0
523,1,0,44.0,0,1,57.9792,0
524,3,1,30.72664459161148,0,0,7.2292,0
525,3,1,40.5,0,0,7.75,1
526,2,0,50.0,0,0,10.5,2
527,1,1,30.72664459161148,0,0,221.7792,2
528,3,1,39.0,0,0,7.925,2
529,2,1,23.0,2,1,11.5,2
530,2,0,2.0,1,1,26.0,2
531,3,1,30.72664459161148,0,0,7.2292,0
532,3,1,17.0,1,1,7.2292,0
533,3,0,27.915708812260537,0,2,22.3583,0
534,3,0,30.0,0,0,8.6625,2
535,2,0,7.0,0,2,26.25,2
536,1,1,45.0,0,0,26.55,2
537,1,0,30.0,0,0,106.425,0
538,3,1,30.72664459161148,0,0,14.5,2
539,1,0,22.0,0,2,49.5,0
540,1,0,36.0,0,2,71.0,2
541,3,0,9.0,4,2,31.275,2
542,3,0,11.0,4,2,31.275,2
543,2,1,32.0,1,0,26.0,2
544,1,1,50.0,1,0,106.425,0
545,1,1,64.0,0,0,26.0,2
546,2,0,19.0,1,0,26.0,2
547,2,1,30.72664459161148,0,0,13.8625,0
548,3,1,33.0,1,1,20.525,2
549,2,1,8.0,1,1,36.75,2
550,1,1,17.0,0,2,110.8833,0
551,2,1,27.0,0,0,26.0,2
552,3,1,30.72664459161148,0,0,7.8292,1
553,3,1,22.0,0,0,7.225,0
554,3,0,22.0,0,0,7.775,2
555,1,1,62.0,0,0,26.55,2
556,1,0,48.0,1,0,39.6,0
557,1,1,30.72664459161148,0,0,227.525,0
558,1,0,39.0,1,1,79.65,2
559,3,0,36.0,1,0,17.4,2
560,3,1,30.72664459161148,0,0,7.75,1
561,3,1,40.0,0,0,7.8958,2
562,2,1,28.0,0,0,13.5,2
563,3,1,30.72664459161148,0,0,8.05,2
564,3,0,27.915708812260537,0,0,8.05,2
565,3,1,24.0,2,0,24.15,2
566,3,1,19.0,0,0,7.8958,2
567,3,0,29.0,0,4,21.075,2
568,3,1,30.72664459161148,0,0,7.2292,0
569,3,1,32.0,0,0,7.8542,2
570,2,1,62.0,0,0,10.5,2
571,1,0,53.0,2,0,51.4792,2
572,1,1,36.0,0,0,26.3875,2
573,3,0,27.915708812260537,0,0,7.75,1
574,3,1,16.0,0,0,8.05,2
575,3,1,19.0,0,0,14.5,2
576,2,0,34.0,0,0,13.0,2
577,1,0,39.0,1,0,55.9,2
578,3,0,27.915708812260537,1,0,14.4583,0
579,3,1,32.0,0,0,7.925,2
580,2,0,25.0,1,1,30.0,2
581,1,0,39.0,1,1,110.8833,0
582,2,1,54.0,0,0,26.0,2
583,1,1,36.0,0,0,40.125,0
584,3,1,30.72664459161148,0,0,8.7125,0
585,1,0,18.0,0,2,79.65,2
586,2,1,47.0,0,0,15.0,2
587,1,1,60.0,1,1,79.2,0
588,3,1,22.0,0,0,8.05,2
589,3,1,30.72664459161148,0,0,8.05,2
590,3,1,35.0,0,0,7.125,2
591,1,0,52.0,1,0,78.2667,0
592,3,1,47.0,0,0,7.25,2
593,3,0,27.915708812260537,0,2,7.75,1
594,2,1,37.0,1,0,26.0,2
595,3,1,36.0,1,1,24.15,2
596,2,0,27.915708812260537,0,0,33.0,2
597,3,1,49.0,0,0,0.0,2
598,3,1,30.72664459161148,0,0,7.225,0
599,1,1,49.0,1,0,56.9292,0
600,2,0,24.0,2,1,27.0,2
601,3,1,30.72664459161148,0,0,7.8958,2
602,1,1,30.72664459161148,0,0,42.4,2
603,3,1,44.0,0,0,8.05,2
604,1,1,35.0,0,0,26.55,0
605,3,1,36.0,1,0,15.55,2
606,3,1,30.0,0,0,7.8958,2
607,1,1,27.0,0,0,30.5,2
608,2,0,22.0,1,2,41.5792,0
609,1,0,40.0,0,0,153.4625,2
610,3,0,39.0,1,5,31.275,2
611,3,1,30.72664459161148,0,0,7.05,2
612,3,0,27.915708812260537,1,0,15.5,1
613,3,1,30.72664459161148,0,0,7.75,1
614,3,1,35.0,0,0,8.05,2
615,2,0,24.0,1,2,65.0,2
616,3,1,34.0,1,1,14.4,2
617,3,0,26.0,1,0,16.1,2
618,2,0,4.0,2,1,39.0,2
619,2,1,26.0,0,0,10.5,2
620,3,1,27.0,1,0,14.4542,0
621,1,1,42.0,1,0,52.5542,2
622,3,1,20.0,1,1,15.7417,0
623,3,1,21.0,0,0,7.8542,2
624,3,1,21.0,0,0,16.1,2
625,1,1,61.0,0,0,32.3208,2
626,2,1,57.0,0,0,12.35,1
627,1,0,21.0,0,0,77.9583,2
628,3,1,26.0,0,0,7.8958,2
629,3,1,30.72664459161148,0,0,7.7333,1
630,1,1,80.0,0,0,30.0,2
631,3,1,51.0,0,0,7.0542,2
632,1,1,32.0,0,0,30.5,0
633,1,1,30.72664459161148,0,0,0.0,2
634,3,0,9.0,3,2,27.9,2
635,2,0,28.0,0,0,13.0,2
636,3,1,32.0,0,0,7.925,2
637,2,1,31.0,1,1,26.25,2
638,3,0,41.0,0,5,39.6875,2
639,3,1,30.72664459161148,1,0,16.1,2
640,3,1,20.0,0,0,7.8542,2
641,1,0,24.0,0,0,69.3,0
642,3,0,2.0,3,2,27.9,2
643,3,1,30.72664459161148,0,0,56.4958,2
644,3,0,0.75,2,1,19.2583,0
645,1,1,48.0,1,0,76.7292,0
646,3,1,19.0,0,0,7.8958,2
647,1,1,56.0,0,0,35.5,0
648,3,1,30.72664459161148,0,0,7.55,2
649,3,0,23.0,0,0,7.55,2
650,3,1,30.72664459161148,0,0,7.8958,2
651,2,0,18.0,0,1,23.0,2
652,3,1,21.0,0,0,8.4333,2
653,3,0,27.915708812260537,0,0,7.8292,1
654,3,0,18.0,0,0,6.75,1
655,2,1,24.0,2,0,73.5,2
656,3,1,30.72664459161148,0,0,7.8958,2
657,3,0,32.0,1,1,15.5,1
